Codigo,Descripcion,MOTO,Marca,Precio,Existencia
0388-CK1806,ABRAZADERA INFERIOR DE MANUBRIO,ARENA,CARABELA, 96.00 ,10
0389-CK1806,ABRAZADERA SUPERIOR DE MANUBRIO,ARENA,CARABELA, 96.00 ,9
0268-040703,ALOJAMIENTO DE ACELERADOR,ARENA,CARABELA, 160.00 ,0
0084-CK1802,AMORTIGUADOR TRASERO,ARENA,CARABELA,1334,0
0105-CK1800,ARBOL DE LEVAS,ARENA,CARABELA,1906,43
0086-CK1800,ARNES PRINCIPAL,ARENA,CARABELA, 428.00 ,7
0001-CK1803,ASIENTO,ARENA,CARABELA, 826.00 ,14
0574-250700,ASIENTO SUPERIOR DE RESORTE DE VALVULA,ARENA,CARABELA, 21.00 ,189
0459-060700,BALERO 6001 ABIERTO,ARENA,CARABELA, 66.00 ,19
0308-110500,BALERO 6201 ABIERTO,ARENA,CARABELA, 53.00 ,0
0964-040700,BALERO 6202Z,ARENA,CARABELA, 107.00 ,0
0964-040700,BALERO 6202Z,ARENA,CARABELA, 107.00 ,0
0166-110500,BALERO ABIERTO 6203,ARENA,CARABELA, 95.00 ,36
3040-CK1800,BALERO AHUJA HK1612,ARENA,CARABELA, 116.00 ,80
0404-CK1806,BARRA DE POSAPIE DELANTERA,ARENA,CARABELA, 321.00 ,13
0225-CK1803,BARRA DE SUSPENSION DELANTERA DERECHA,ARENA,CARABELA,1355,16
0226-CK1803,BARRA DE SUSPENSION DELANTERA IZQUIERDA,ARENA,CARABELA,1355,14
0175-250700,BIRLO PRISIONERO DE CARTER DERECHO,ARENA,CARABELA, 23.00 ,48
0174-250700,BIRLO PRISIONERO DE CARTER IZQUIERDO,ARENA,CARABELA, 53.00 ,58
0091-CK1800,BOBINA DE IGNICION,ARENA,CARABELA, 191.00 ,39
0138-250700,BOMBA ACEITE COMPLETA,ARENA,CARABELA, 214.00 ,130
1070-CK1803,BOMBA DE FRENO CON MANIJA DERECHA,ARENA,CARABELA, 535.00 ,18
0611-CK1800,BOMBA DE FRENO TRASERO,ARENA,CARABELA, 321.00 ,4
0218-CK1800,BOTON DE ENCENDIDO,ARENA,CARABELA, 160.00 ,149
0649-250700,BUJE DE ENGRANE DE CLUTCH,ARENA,CARABELA, 43.00 ,70
1560-CK1800,BUJE DE HORQUILLA OSCILANTE,ARENA,CARABELA, 182.00 ,2
0598-CK1800,BUJE DE LLANTA DELANTERA,ARENA,CARABELA, 64.00 ,41
0598-CK1800A,BUJE DE LLANTA DELANTERA,ARENA,CARABELA, 69.00 ,20
0548-CK1800,BUJE DE RUEDA TRASERA,ARENA,CARABELA, 64.00 ,52
0838-CK1800,BUJE DERECHO DE LLANTA TRASERA,ARENA,CARABELA, 75.00 ,51
0838-CK1800A,BUJE DERECHO DE LLANTA TRASERA,ARENA,CARABELA, 75.00 ,54
0794-591000,BUJE GUIA,ARENA,CARABELA, 8.00 ,0
0102-250700,BUJIA 7,ARENA,CARABELA, 60.00 ,395
0096-CK1806,CABEZA DE CILINDRO,ARENA,CARABELA,1313,18
0670-250700,CADENA DE ARRANQUE,ARENA,CARABELA, 103.00 ,20
0173-250700,CADENA DE DISTRIBUCION DE LEVA,ARENA,CARABELA, 160.00 ,0
0387-CK1800,CADENA DE TRANSMISION,ARENA,CARABELA, 551.00 ,56
0557-CK1806,CAJA DE BATERIA,ARENA,CARABELA, 150.00 ,7
0075-CK1803,CALIPER DELANTERO,ARENA,CARABELA, 535.00 ,2
0345-CK1803,CALIPER TRASERO,ARENA,CARABELA, 535.00 ,0
0309-CK1803,CAMARA DELANTERA,ARENA,CARABELA, 392.00 ,39
1207-CK1800,CAMARA TRASERA,ARENA,CARABELA, 381.00 ,23
0071-CK1800,CARBURADOR,ARENA,CARABELA, 900.00 ,20
0169-CK1806,CARTER DERECHO DE MOTOR,ARENA,CARABELA, 749.00 ,4
0168-CK1806,CARTER IZQUIERDO DE MOTOR,ARENA,CARABELA, 962.00 ,4
0209-CK1800,CHICOTE DE ACELERADOR,ARENA,CARABELA, 203.00 ,95
0151-CK1800,CIGUE�AL COMPLETO,ARENA,CARABELA,1059,18
0114-CK1803,CILINDRO,ARENA,CARABELA, 805.00 ,19
0141-CK1800,CLUTCH CENTRIFUGO COMPLETO,ARENA,CARABELA, 962.00 ,16
0237-470800,CONTRA TUERCA DE YUGO,ARENA,CARABELA, 47.00 ,0
0409-CK1800,CORTA CORRIENTE,ARENA,CARABELA, 106.00 ,189
0230-CK1801,CUADRO/CHASIS,ARENA,CARABELA,3850,1
0355-CK1806,CUBIERTA DE CRANK,ARENA,CARABELA,1001,11
0351-CK1806,CUBIERTA DE MAGNETO,ARENA,CARABELA, 535.00 ,13
1112-CK1801,CUBIERTA DE TANQUE DERECHA,ARENA,CARABELA, 160.00 ,9
1112-CK1805,CUBIERTA DE TANQUE DERECHA,ARENA,CARABELA, 160.00 ,18
1111-CK1801,CUBIERTA DE TANQUE IZQUIERDA,ARENA,CARABELA, 160.00 ,7
1111-CK1805,CUBIERTA DE TANQUE IZQUIERDA,ARENA,CARABELA, 160.00 ,13
0580-CK1806,CUBIERTA DECORATIVA DERECHA,ARENA,CARABELA, 203.00 ,24
0437-841006,CUBIERTA DECORATIVA IZQUIERDA,ARENA,CARABELA, 53.00 ,25
0009-CK1802,CUBIERTA FRONTAL,ARENA,CARABELA, 321.00 ,2
0009-CK1805,CUBIERTA FRONTAL,ARENA,CARABELA, 321.00 ,5
0346-CK1806,CUBIERTA IZQUIERDA DE SPROCKET,ARENA,CARABELA, 192.00 ,4
0013-CK1801,CUBIERTA LATERAL DERECHA,ARENA,CARABELA, 321.00 ,35
0013-CK1805,CUBIERTA LATERAL DERECHA,ARENA,CARABELA, 321.00 ,42
0012-CK1801,CUBIERTA LATERAL IZQUIERDA,ARENA,CARABELA, 321.00 ,33
0012-CK1805,CUBIERTA LATERAL IZQUIERDA,ARENA,CARABELA, 321.00 ,35
0336-CK1803,CUBRE CADENA,ARENA,CARABELA, 165.00 ,15
0262-250700,CU�A DE CIGUENAL,ARENA,CARABELA, 23.00 ,0
0188-CK1800,DISCO DE FRENO DELANTERO,ARENA,CARABELA, 360.00 ,37
0341-CK1800,DISCO DE FRENO TRASERO,ARENA,CARABELA, 406.00 ,12
0098-250700,EJE DE BALANCIN DE VALVULA,ARENA,CARABELA, 64.00 ,225
0602-CK1800,EJE DE HORQUILLA,ARENA,CARABELA, 75.00 ,0
0190-CK1800,EJE DE LLANTA DELANTERA,ARENA,CARABELA, 381.00 ,19
0640-250700,EJE DE PINON DE BOMBA DE ACEITE,ARENA,CARABELA, 28.00 ,3
0547-CK1800,EJE TRASERO,ARENA,CARABELA, 381.00 ,46
0040-CK1800,ELEMENTO INTERIOR DE FILTRO DE AIRE,ARENA,CARABELA, 160.00 ,0
0155-250700,EMBRAGUE DE ARRANQUE,ARENA,CARABELA, 225.00 ,22
0353-250700,ENGRANE DE TIEMPO,ARENA,CARABELA, 107.00 ,46
0662-250700,ENGRANE PRIMARIO DE CLUTCH,ARENA,CARABELA, 372.00 ,39
0042-CK1800,ESCAPE COMPLETO,ARENA,CARABELA,1176,27
0069-CK1800,ESTATOR,ARENA,CARABELA, 635.00 ,77
0121-250700,FILTRO DE ACEITE,ARENA,CARABELA, 21.00 ,25
0935-CK1800,FLECHA PRIMARIA COMPLETA,ARENA,CARABELA, 889.00 ,34
0930-CK1800,FLECHA SECUNDARIA COMPLETA,ARENA,CARABELA, 889.00 ,64
0538-CK1803,GOMA PROTECTORA DE HORQUILLA,ARENA,CARABELA, 96.00 ,77
0723-581000,GUARDAPOLVO DE BARRA DE SUSPENSION,ARENA,CARABELA, 32.00 ,16
0910-CK1803,GUIA DE MANGUERA,ARENA,CARABELA, 43.00 ,0
0957-CK1803,GUIA DE MANGUERA DE CALIPER DELANTERO,ARENA,CARABELA, 32.00 ,20
0296-CK1806,HORQUILLA TRASERA,ARENA,CARABELA, 962.00 ,8
0150-CK1800,JUEGO DE ANILLOS DE PISTON,ARENA,CARABELA, 160.00 ,70
0077-CK1800,JUEGO DE BALATAS DELANTERAS,ARENA,CARABELA, 318.00 ,233
0193-CK1800,JUEGO DE BALATAS TRASERAS,ARENA,CARABELA, 318.00 ,219
0963-CK1800,JUEGO DE RAYOS DELANTEROS,ARENA,CARABELA, 203.00 ,26
0962-CK1800,JUEGO DE RAYOS TRASEROS,ARENA,CARABELA, 203.00 ,0
0945-CK1800,JUEGO DE TAZAS PARA YUGO,ARENA,CARABELA, 214.00 ,31
1607-250700,JUEGO DE VALVULAS DE ADMISION Y ESCAPE,ARENA,CARABELA, 474.00 ,0
0170-250700,JUNTA CENTRAL DE CARTER,ARENA,CARABELA, 64.00 ,29
0667-250700,JUNTA DE BOMBA DE ACEITE,ARENA,CARABELA, 58.00 ,132
0115-CK1803,JUNTA DE CABEZA DE CILINDRO,ARENA,CARABELA, 75.00 ,31
0108-250700,JUNTA DE CABEZA DE PIPETA DE CARBURADOR,ARENA,CARABELA, 28.00 ,237
0113-CK1800,JUNTA DE CILINDRO,ARENA,CARABELA, 64.00 ,84
0348-591000,JUNTA DE CUBIERTA DE CRANK,ARENA,CARABELA, 75.00 ,144
0349-CK1800,JUNTA DE CUBIERTA DE MAGNETO,ARENA,CARABELA, 75.00 ,29
0322-250700,JUNTA DE ESCAPE,ARENA,CARABELA, 21.00 ,0
0347-250700,JUNTA DE TAPA DE CABEZA,ARENA,CARABELA, 86.00 ,359
0630-250700,JUNTA DE TAPA DERECHA DE CABEZA DE CILINDRO,ARENA,CARABELA, 32.00 ,120
0631-250700,JUNTA DE TAPA IZQUIERDA DE CABEZA  DE CIINDRO,ARENA,CARABELA, 32.00 ,122
0260-250700,KIT DE 2 SEGUROS DE PERNO DE PISTON,ARENA,CARABELA, 4.00 ,460
0633-250700,LEVA DE TENSOR,ARENA,CARABELA, 21.00 ,68
3015-591703,LIGA DE SEPARADOR DE CUBIERTA DE MAGNETO,ARENA,CARABELA, 32.00 ,18
0186-CK1803,LLANTA DELANTERA,ARENA,CARABELA,1641,38
0365-CK1803,LLANTA TRASERA,ARENA,CARABELA,1376,34
0202-CK1800,LLAVE DE PASO DE COMBUSTIBLE,ARENA,CARABELA, 296.00 ,70
0070-250700,MAGNETO,ARENA,CARABELA, 551.00 ,21
0080-581000,MANGUERA DE FRENO DELANTERO,ARENA,CARABELA, 200.00 ,55
0614-CK1803,MANGUERA DE FRENO TRASERO,ARENA,CARABELA, 214.00 ,26
0083-CK1803,MANIJA DERECHA,ARENA,CARABELA, 160.00 ,7
0231-CK1806,MANUBRIO,ARENA,CARABELA, 374.00 ,17
0562-CK1803,MAZA DELANTERA,ARENA,CARABELA, 321.00 ,4
0549-CK1803,MAZA TRASERA,ARENA,CARABELA, 428.00 ,0
0120-641100,MEDIDOR DE ACEITE,ARENA,CARABELA, 40.00 ,0
0085-CK1806,MOTOR DE ARRANQUE,ARENA,CARABELA, 855.00 ,18
0435-390700,ORING,ARENA,CARABELA, 8.00 ,0
0816-040700,ORING 1.7 X 2.3 X 3 MM,ARENA,CARABELA, 21.00 ,347
0747-591000,ORING 30.8 - 3.2,ARENA,CARABELA, 21.00 ,30
0797-591000,ORING DE CILINDRO 9 X 11.7 X 1.5,ARENA,CARABELA, 21.00 ,0
0642-250700,ORING DE CILINDRO INFERIOR (11.5MM X 2.50MM ),ARENA,CARABELA, 21.00 ,0
0438-450800,ORING DE MEDIDOR DE ACEITE,ARENA,CARABELA, 21.00 ,0
0222-CK1806,PARADOR LATERAL,ARENA,CARABELA, 145.00 ,10
0359-CK1806,PEDAL DE FRENO TRASERO,ARENA,CARABELA, 214.00 ,11
0097-250700,PERNO DE BALANCIN DE VALVULA DE ADMISION,ARENA,CARABELA, 64.00 ,154
0259-250700,PERNO DE PISTON,ARENA,CARABELA, 64.00 ,91
0443-250700,PERNO DE PUNTERIAS,ARENA,CARABELA, 48.00 ,0
0578-250700,PERNO GUIA,ARENA,CARABELA, 38.00 ,0
0878-070700,PERNO GUIA ( 7 x 8 x 14 mm ),ARENA,CARABELA, 43.00 ,111
0643-070700,PERNO GU�A 8mm X 12mm,ARENA,CARABELA, 5.00 ,0
0643-070700,PERNO GU�A 8mm X 12mm,ARENA,CARABELA, 5.00 ,0
0643-070700,PERNO GU�A 8mm X 12mm,ARENA,CARABELA, 5.00 ,0
0632-250700,PI�ON DE DISTRIBUCION 28 D.,ARENA,CARABELA, 96.00 ,0
0914-250700,PI�ON DE MARCHA,ARENA,CARABELA, 64.00 ,92
0587-250700,PI�ON IMPULSOR DE BOMBA DE ACEITE,ARENA,CARABELA, 66.00 ,79
0110-CK1806,PIPETA DE CARBURADOR,ARENA,CARABELA, 116.00 ,4
0261-CK1800,PISTON,ARENA,CARABELA, 159.00 ,61
0674-250700,PLACA DE SPROCKET DE ARRANQUE,ARENA,CARABELA, 70.00 ,0
0486-250700,PLACA DE SPROCKET DELANTERO,ARENA,CARABELA, 43.00 ,51
1410-CK1803,PLACA GUIA DE MANGUERA,ARENA,CARABELA, 11.00 ,18
0638-250700,POLEA GUIA DE CADENA DE DISTRIBUCION,ARENA,CARABELA, 42.00 ,15
0372-CK1806,POSAPIE DELANTERO DERECHO,ARENA,CARABELA, 160.00 ,20
0371-CK1806,POSAPIE DELANTERO IZQUIERDO,ARENA,CARABELA, 160.00 ,29
0407-CK1800,PROTECTOR DE ESCAPE,ARENA,CARABELA, 160.00 ,0
0381-CK1800,PROTECTOR DE SPROCKET,ARENA,CARABELA, 160.00 ,19
0822-CK1800,PROTECTOR DE TUBO DE ESCAPE,ARENA,CARABELA, 100.00 ,17
0094-CK1803,PU�O DERECHO,ARENA,CARABELA, 75.00 ,17
0093-CK1803,PU�O IZQUIERDO,ARENA,CARABELA, 64.00 ,17
0088-B21300,REGULADOR DE VOLTAJE,ARENA,CARABELA, 214.00 ,86
0090-110500,RELAY DE ARRANQUE,ARENA,CARABELA, 159.00 ,174
0223-CK1800,RESORTE DE PARADOR LATERAL,ARENA,CARABELA, 53.00 ,29
0543-CK1800,RESORTE DE PEDAL DE FRENO,ARENA,CARABELA, 105.00 ,31
1229-CK180L,RESORTE DE RETORNO POSAPIE,ARENA,CARABELA, 22.00 ,32
1229-CK180R,RESORTE DE RETORNO POSAPIE,ARENA,CARABELA, 22.00 ,32
0635-250700,RESORTE DE TENSOR DE CADENA DE DISTRIBUCION,ARENA,CARABELA, 21.00 ,65
0107-250700,RESORTE EXTERIOR DE VALVULAS,ARENA,CARABELA, 27.00 ,331
0106-250700,RESORTE INTERIOR DE VALVULAS,ARENA,CARABELA, 57.00 ,240
0675-250700,RETEN ( 189 X 30 X 5  ),ARENA,CARABELA, 64.00 ,48
1116-250700,RETEN ( 30 X 42 X 4.5 ),ARENA,CARABELA, 64.00 ,39
0687-250700,RETEN DE ACEITE ( 17 x 29 x 5 ),ARENA,CARABELA, 64.00 ,48
0623-581000,RETEN DE SUSPENSION,ARENA,CARABELA, 75.00 ,15
0185-CK1803,RIN DELANTERO COMPLETO,ARENA,CARABELA,2096,20
0191-CK1803,RIN TRASERO COMPLETO,ARENA,CARABELA,2562,21
1147-CK1800,RODILLO TENSOR DE CADENA,ARENA,CARABELA, 95.00 ,25
0467-070700,RONDANA DE EJE DE CLUTCH,ARENA,CARABELA, 42.00 ,0
0977-591000,RONDANA DE RESORTE EXTERIOR DE VALVULA,ARENA,CARABELA, 21.00 ,115
1051-060700,RONDANA DE YUGO,ARENA,CARABELA, 21.00 ,161
0011-CK1801,SALPICADERA DELANTERA,ARENA,CARABELA, 321.00 ,6
0011-CK1805,SALPICADERA DELANTERA,ARENA,CARABELA, 321.00 ,18
0575-250700,SEGURO DE VALVULAS,ARENA,CARABELA, 19.00 ,245
0293-250700,SELLO DE VALVULA,ARENA,CARABELA, 42.00 ,189
0082-060700,SENSOR DE STOP DERECHO,ARENA,CARABELA, 53.00 ,0
0109-250700,SEPARADOR DE CABEZA DE PIPETA DE CARBURADOR,ARENA,CARABELA, 94.00 ,28
0312-CK1800,SISTEMA DE FRENO DELANTERO COMPLETO,ARENA,CARABELA,1228,21
0612-CK1800,SISTEMA DE FRENO TRASERO COMPLETO,ARENA,CARABELA,1101,4
0673-250700,SPROCKET DE ARRANQUE,ARENA,CARABELA, 187.00 ,23
0485-CK1800,SPROCKET DELANTERO,ARENA,CARABELA, 265.00 ,30
0545-CK1800,SPROCKET TRASERO,ARENA,CARABELA, 214.00 ,66
0325-CK1800,SWITCH DE ENCENDIDO,ARENA,CARABELA, 160.00 ,23
0198-CK1803,TANQUE DE COMBUSTIBLE,ARENA,CARABELA,1376,22
0111-251006,TAPA DE CABEZA DE CILINDRO,ARENA,CARABELA, 107.00 ,9
0627-251006,TAPA DERECHA DE CABEZA DE CILINDRO,ARENA,CARABELA, 96.00 ,8
0628-350700,TAPA IZQUIERDA DE CABEZA  DE CILINDRO,ARENA,CARABELA, 160.00 ,0
0016-CK1801,TAPA UNION DE CUBIERTAS LATERALES,ARENA,CARABELA, 160.00 ,4
0016-CK1805,TAPA UNION DE CUBIERTAS LATERALES,ARENA,CARABELA, 160.00 ,13
0436-060700,TAPON DE INSPECCION DE TIEMPO,ARENA,CARABELA, 53.00 ,0
0201-CK1803,TAPON DE TANQUE DE COMBUSTIBLE,ARENA,CARABELA, 64.00 ,35
0637-250700,TAPON DE VARILLA DE TENSOR DE DISTRIBUCION,ARENA,CARABELA, 15.00 ,27
0232-470800,TAZA SUPERIOR DE DIRECCION,ARENA,CARABELA, 94.00 ,337
0116-250700,TENSOR DE CADENA,ARENA,CARABELA, 43.00 ,119
0379-CK1800,TENSOR DE CADENA DE TRANSMISION,ARENA,CARABELA, 64.00 ,70
0639-250700,TORNILLO DE POLEA DE CADENA DE DISTRIBUCION,ARENA,CARABELA, 21.00 ,0
0634-250700,TORNILLO DE TENSOR DE CADENA,ARENA,CARABELA, 20.00 ,0
1252-591000,TORNILLO DE TENSOR DE CADENA DE DISTRIBUCION,ARENA,CARABELA, 21.00 ,86
0819-591000,TORNILLO PARA DRENAR,ARENA,CARABELA, 18.00 ,0
0236-CK1800,TUERCA DE YUGO,ARENA,CARABELA, 160.00 ,30
0087-450800,UNIDAD DE C.D.I.,ARENA,CARABELA, 171.00 ,27
0103-250700,VALVULA DE ADMISION,ARENA,CARABELA, 159.00 ,148
0104-250700,VALVULA DE ESCAPE,ARENA,CARABELA, 159.00 ,113
0636-250700,VARILLA DE CADENA DE TENSOR DE DISTRIBUCION,ARENA,CARABELA, 64.00 ,99
0224-CK1803,YUGO DE DIRECCION,ARENA,CARABELA, 428.00 ,18
0342-CK1803,YUGO SUPERIOR,ARENA,CARABELA, 428.00 ,0
0297-P42107,AMORTIGUADOR DELANTERO,ATLAS GO KART,CARABELA, 709.00 ,12
0297-P42107,AMORTIGUADOR DELANTERO,ATLAS GO KART,CARABELA, 709.00 ,12
0084-P42107,AMORTIGUADOR TRASERO,ATLAS GO KART,CARABELA,1292,12
0084-P42107,AMORTIGUADOR TRASERO,ATLAS GO KART,CARABELA,1292,12
0105-P42100,ARBOL DE LEVAS,ATLAS GO KART,CARABELA, 445.00 ,0
0105-P42100,ARBOL DE LEVAS,ATLAS GO KART,CARABELA, 445.00 ,0
0001-P42110,ASIENTO,ATLAS GO KART,CARABELA, 783.00 ,5
0001-P42110,ASIENTO,ATLAS GO KART,CARABELA, 783.00 ,5
1266-P42100,BALANCIN,ATLAS GO KART,CARABELA, 64.00 ,4
1266-P42100,BALANCIN,ATLAS GO KART,CARABELA, 64.00 ,4
3121-P42100,BALERO,ATLAS GO KART,CARABELA, 413.00 ,20
3122-P42100,BALERO,ATLAS GO KART,CARABELA, 366.00 ,40
3123-P42100,BALERO,ATLAS GO KART,CARABELA, 349.00 ,20
3121-P42100,BALERO,ATLAS GO KART,CARABELA, 413.00 ,20
3122-P42100,BALERO,ATLAS GO KART,CARABELA, 366.00 ,40
3123-P42100,BALERO,ATLAS GO KART,CARABELA, 349.00 ,20
3138-P42100,BALERO 6303,ATLAS GO KART,CARABELA, 201.00 ,20
3138-P42100,BALERO 6303,ATLAS GO KART,CARABELA, 201.00 ,20
0166-110500,BALERO ABIERTO 6203,ATLAS GO KART,CARABELA, 95.00 ,36
0677-P42100,BIELA COMPLETA,ATLAS GO KART,CARABELA, 275.00 ,2
0677-P42100,BIELA COMPLETA,ATLAS GO KART,CARABELA, 275.00 ,2
0091-P42100,BOBINA DE IGNICION,ATLAS GO KART,CARABELA, 424.00 ,8
0091-P42100,BOBINA DE IGNICION,ATLAS GO KART,CARABELA, 424.00 ,8
0218-P42103,BOTON DE ENCENDIDO,ATLAS GO KART,CARABELA, 191.00 ,15
0218-P42103,BOTON DE ENCENDIDO,ATLAS GO KART,CARABELA, 191.00 ,15
0393-P42100,BRAZO DE ROTULAS,ATLAS GO KART,CARABELA, 508.00 ,14
0393-P42100,BRAZO DE ROTULAS,ATLAS GO KART,CARABELA, 508.00 ,14
3133-P42100,BRAZO REGULADOR,ATLAS GO KART,CARABELA, 53.00 ,3
3133-P42100,BRAZO REGULADOR,ATLAS GO KART,CARABELA, 53.00 ,3
3126-P42100,BUJE,ATLAS GO KART,CARABELA, 445.00 ,15
3126-P42100,BUJE,ATLAS GO KART,CARABELA, 445.00 ,15
0176-250700,BUJE DE CILINDRO,ATLAS GO KART,CARABELA, 78.00 ,31
2134-P42100,BUJE DELANTERO,ATLAS GO KART,CARABELA, 180.00 ,5
3125-P42100,BUJE TRASERO,ATLAS GO KART,CARABELA, 163.00 ,5
0102-P42100,BUJIA,ATLAS GO KART,CARABELA, 159.00 ,15
0102-P42100,BUJIA,ATLAS GO KART,CARABELA, 159.00 ,15
0096-P42106,CABEZA DE CILINDRO,ATLAS GO KART,CARABELA,1249,4
0096-P42106,CABEZA DE CILINDRO,ATLAS GO KART,CARABELA,1249,4
0209-P42100,CABLE DE ACELERADOR,ATLAS GO KART,CARABELA, 159.00 ,44
0209-P42100,CABLE DE ACELERADOR,ATLAS GO KART,CARABELA, 159.00 ,44
0387-P41200A,CADENA,ATLAS GO KART,CARABELA, 212.00 ,24
0387-P41200B,CADENA,ATLAS GO KART,CARABELA, 254.00 ,25
0071-P42100,CARBURADOR,ATLAS GO KART,CARABELA, 974.00 ,10
0071-P42100,CARBURADOR,ATLAS GO KART,CARABELA, 974.00 ,10
1174-P42110,CARCAZA DE COMPARTIMIENTO DE FILTRO DE AIRE,ATLAS GO KART,CARABELA, 21.00 ,5
1174-P42110,CARCAZA DE COMPARTIMIENTO DE FILTRO DE AIRE,ATLAS GO KART,CARABELA, 21.00 ,5
3132-P42106,CARTER CON CILINDRO COMPLETO,ATLAS GO KART,CARABELA,2541,4
3132-P42106,CARTER CON CILINDRO COMPLETO,ATLAS GO KART,CARABELA,2541,4
0168-P42106,CARTER IZQUIERDO DE MOTOR,ATLAS GO KART,CARABELA, 667.00 ,4
0168-P42106,CARTER IZQUIERDO DE MOTOR,ATLAS GO KART,CARABELA, 667.00 ,4
0151-P42100,CIG�E�AL,ATLAS GO KART,CARABELA,2012,3
0151-P42100,CIG�E�AL,ATLAS GO KART,CARABELA,2012,3
3111-P42103,CINTURON DE SEGURIDAD,ATLAS GO KART,CARABELA, 402.00 ,3
3111-P42103,CINTURON DE SEGURIDAD,ATLAS GO KART,CARABELA, 402.00 ,3
0941-P42100,CLUTCH COMPLETO,ATLAS GO KART,CARABELA,1334,8
0941-P42100,CLUTCH COMPLETO,ATLAS GO KART,CARABELA,1334,8
0039-P42110,COMPARTIMIENTO DE FILTRO DE AIRE,ATLAS GO KART,CARABELA, 402.00 ,7
0039-P42110,COMPARTIMIENTO DE FILTRO DE AIRE,ATLAS GO KART,CARABELA, 402.00 ,7
0529-P42110,CONJUNTO DE YUGO DE DIRECCION,ATLAS GO KART,CARABELA, 233.00 ,10
0529-P42110,CONJUNTO DE YUGO DE DIRECCION,ATLAS GO KART,CARABELA, 233.00 ,10
3137-P42100,CONTROL DE LEVAS REGULADORAS,ATLAS GO KART,CARABELA, 191.00 ,3
3137-P42100,CONTROL DE LEVAS REGULADORAS,ATLAS GO KART,CARABELA, 191.00 ,3
3119-P42103,CUADRO DE PROTECCION,ATLAS GO KART,CARABELA,1588,2
3119-P42103,CUADRO DE PROTECCION,ATLAS GO KART,CARABELA,1588,2
0009-P42110,CUBIERTA FRONTAL,ATLAS GO KART,CARABELA, 921.00 ,7
0009-P42110,CUBIERTA FRONTAL,ATLAS GO KART,CARABELA, 921.00 ,7
0013-P42103,CUBIERTA LATERAL DERECHA,ATLAS GO KART,CARABELA, 741.00 ,4
0013-P42103,CUBIERTA LATERAL DERECHA,ATLAS GO KART,CARABELA, 741.00 ,4
0012-P42103,CUBIERTA LATERAL IZQUIERDA,ATLAS GO KART,CARABELA, 741.00 ,4
0012-P42103,CUBIERTA LATERAL IZQUIERDA,ATLAS GO KART,CARABELA, 741.00 ,4
0336-P42110,CUBRE CADENA,ATLAS GO KART,CARABELA, 656.00 ,8
0336-P42110,CUBRE CADENA,ATLAS GO KART,CARABELA, 656.00 ,8
3142-P42103,CUBRE POLVO DE ARRANQUE,ATLAS GO KART,CARABELA, 53.00 ,2
3142-P42103,CUBRE POLVO DE ARRANQUE,ATLAS GO KART,CARABELA, 53.00 ,2
0341-P42100,DISCO DE FRENO TRASERO,ATLAS GO KART,CARABELA, 424.00 ,10
0341-P42100,DISCO DE FRENO TRASERO,ATLAS GO KART,CARABELA, 424.00 ,10
0040-P42100,ELEMENTO DE FILTRO DE AIRE,ATLAS GO KART,CARABELA, 169.00 ,14
0040-P42100,ELEMENTO DE FILTRO DE AIRE,ATLAS GO KART,CARABELA, 169.00 ,14
3136-P42100,ENGRANE REGULADOR,ATLAS GO KART,CARABELA, 64.00 ,4
3136-P42100,ENGRANE REGULADOR,ATLAS GO KART,CARABELA, 64.00 ,4
0042-P42110,ESCAPE,ATLAS GO KART,CARABELA, 953.00 ,3
0042-P42110,ESCAPE,ATLAS GO KART,CARABELA, 953.00 ,3
1195-P42100,FILTRO DE TANQUE,ATLAS GO KART,CARABELA, 42.00 ,15
1195-P42100,FILTRO DE TANQUE,ATLAS GO KART,CARABELA, 42.00 ,15
0377-P42100,FLECHA DE EJE TRASERO,ATLAS GO KART,CARABELA,1186,18
0377-P42100,FLECHA DE EJE TRASERO,ATLAS GO KART,CARABELA,1186,18
3120-P42110,FUNDA DECORATIVA DE VOLANTE,ATLAS GO KART,CARABELA, 773.00 ,10
3120-P42110,FUNDA DECORATIVA DE VOLANTE,ATLAS GO KART,CARABELA, 773.00 ,10
1235-P42103,HORQUILLA DELANTERA,ATLAS GO KART,CARABELA,1938,4
1235-P42103,HORQUILLA DELANTERA,ATLAS GO KART,CARABELA,1938,4
0296-P42103,HORQUILLA TRASERA,ATLAS GO KART,CARABELA,3388,4
0296-P42103,HORQUILLA TRASERA,ATLAS GO KART,CARABELA,3388,4
0150-P42100,JUEGO DE ANILLOS DE PISTON,ATLAS GO KART,CARABELA, 254.00 ,10
0150-P42100,JUEGO DE ANILLOS DE PISTON,ATLAS GO KART,CARABELA, 254.00 ,10
0170-P42100,JUNTA CENTRAL DE CARTER,ATLAS GO KART,CARABELA, 85.00 ,12
0170-P42100,JUNTA CENTRAL DE CARTER,ATLAS GO KART,CARABELA, 85.00 ,12
0115-P42100,JUNTA DE CABEZA DE CILINDRO,ATLAS GO KART,CARABELA, 64.00 ,12
0115-P42100,JUNTA DE CABEZA DE CILINDRO,ATLAS GO KART,CARABELA, 64.00 ,12
0108-P42100A,JUNTA DE CABEZA DE PIPETA A CARBURADOR,ATLAS GO KART,CARABELA, 25.00 ,12
0108-P42100A,JUNTA DE CABEZA DE PIPETA A CARBURADOR,ATLAS GO KART,CARABELA, 25.00 ,12
